"observedNfeeds" "observedhours" "relatedness2brood" "socialgroupID" "broodID" "massChange"
"1" 0 11.1 0.25 "bfb_c_sfi" "bfb0802" -0.03
"2" 0 11.2 0.25 "bfb_c_sfi" "bfb0802" 0.28
"3" 0 12.8 0.25 "bfb_c_sfi" "bfb0802" -0.08
"4" 3 12.6 0.25 "bfb_c_sfi" "bfb0802" 0.31
"5" 16 12.2 0.25 "bfb_c_sfi" "bfb0802" 0.17
"6" 12 11.5 0.25 "bfb_c_sfi" "bfb0802" 0.14
"7" 11 10.5 0.25 "bfb_c_sfi" "bfb0802" 0.12
"8" 13 12 0.25 "bfb_c_sfi" "bfb0802" 0.23
"9" 18 12.5 0.25 "bfb_c_sfi" "bfb0802" 0.26
"10" 46 12.4 0.5 "bfd" "bfd0702" 0.13
"11" 13 12.4 0.5 "bfd" "bfd0702" 0.11
"12" 15 12.4 0.5 "bfd" "bfd0702" 0.36
"13" 10 12.4 0 "bfd" "bfd0702" 0.17
"14" 9 12.4 0.5 "bfd" "bfd0702" 0.14
"15" 48 12.7 0.5 "bfd" "bfd0702" 0.38
"16" 9 12.7 0.5 "bfd" "bfd0702" 0.13
"17" 2 12.7 0.5 "bfd" "bfd0702" -0.02
"18" 37 12.7 0 "bfd" "bfd0702" 0.34
"19" 38 12.7 0.5 "bfd" "bfd0702" 0.16
"20" 52 12.6 0.5 "bfd" "bfd0702" -0.08
"21" 9 12.6 0.5 "bfd" "bfd0702" 0.24
"22" 12 12.6 0.5 "bfd" "bfd0702" 0.17
"23" 41 12.6 0 "bfd" "bfd0702" 0.25
"24" 46 12.6 0.5 "bfd" "bfd0702" 0.3
"25" 8 10.6 0.5 "bfd" "bfd0801" 0.16
"26" 0 10.6 0.5 "bfd" "bfd0801" 0.47
"27" 0 10.6 0.5 "bfd" "bfd0801" 0.06
"28" 0 10.6 0.5 "bfd" "bfd0801" -0.04
"29" 0 10.6 0 "bfd" "bfd0801" -0.12
"30" 8 10.5 0.5 "bfd" "bfd0801" 0.26
"31" 4 10.5 0.5 "bfd" "bfd0801" 0.16
"32" 0 10.5 0.5 "bfd" "bfd0801" 0.03
"33" 0 10.5 0.5 "bfd" "bfd0801" 0.1
"34" 0 10.5 0 "bfd" "bfd0801" 0.07
"35" 31 10.3 0.5 "bfd" "bfd0801" 0.46
"36" 31 10.3 0.5 "bfd" "bfd0801" 0.35
"37" 0 10.3 0.5 "bfd" "bfd0801" 0.2
"38" 0 10.3 0.5 "bfd" "bfd0801" 0.26
"39" 0 10.3 0 "bfd" "bfd0801" 0.17
"40" 32 11 0.5 "bfd" "bfd0801" 0.15
"41" 32 11 0.5 "bfd" "bfd0801" 0.23
"42" 0 11 0.5 "bfd" "bfd0801" 0.01
"43" 0 11 0.5 "bfd" "bfd0801" 0.25
"44" 0 11 0 "bfd" "bfd0801" 0.05
"45" 33 10.1 0.5 "bfd" "bfd0801" 0.3
"46" 41 10.1 0.5 "bfd" "bfd0801" 0.15
"47" 3 10.1 0.5 "bfd" "bfd0801" 0.03
"48" 0 10.1 0.5 "bfd" "bfd0801" 0.12
"49" 0 10.1 0 "bfd" "bfd0801" 0.18
"50" 44 10.9 0.5 "bfd" "bfd0801" 0.48
"51" 69 10.9 0.5 "bfd" "bfd0801" 0.25
"52" 1 10.9 0.5 "bfd" "bfd0801" 0.03
"53" 0 10.9 0.5 "bfd" "bfd0801" 0.16
"54" 0 10.9 0 "bfd" "bfd0801" 0.27
"55" 41 11.2 0.5 "bfd" "bfd0801" 0.28
"56" 50 11.2 0.5 "bfd" "bfd0801" 0.34
"57" 1 11.2 0.5 "bfd" "bfd0801" 0.21
"58" 0 11.2 0.5 "bfd" "bfd0801" 0.22
"59" 0 11.2 0 "bfd" "bfd0801" 0.35
"60" 41 11.3 0.5 "bfd" "bfd0801" 0.27
